 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
| 18.4/(FRExt)| 16-Ap | 15:10 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675| 219840| 120800|      0|   342320|           2158   |           1974   |
| 18.4/(FRExt)| 16-Ap | 16:03 |                        foreman_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  1 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 37.523| 41.289| 42.851| 37.001| 41.193| 42.872| 211280|  53840|   8000|   274800|           3204   |           2933   |
| 18.4/(FRExt)| 16-Ap | 16:08 |                        foreman_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  1 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 37.523| 41.289| 42.851| 37.001| 41.193| 42.872| 211280|  53840|   8000|   274800|           3113   |           2824   |
| 18.4/(FRExt)| 16-Ap | 16:11 |                        foreman_qcif.yuv|   30 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  1 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 37.523| 41.289| 42.851| 36.785| 40.803| 42.379|  21128|  85592|  12616|   119504|         100648   |          97594   |
| 18.4/(FRExt)| 16-Ap | 20:04 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 |  HEX |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 36.142| 41.058| 42.659| 213920|      0|  69920|   287040|            778   |            317   |
| 18.4/(FRExt)| 16-Ap | 20:05 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 36.112| 41.124| 42.667| 213920|      0|  66480|   283600|            677   |            246   |
| 18.4/(FRExt)| 16-Ap | 20:07 |rtings/Codes/MJM/JM/bin/foreman_qcif.yuv|   30 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.695| 41.571| 43.231| 36.221| 40.886| 42.423|  21592|  40848|  39336|   102096|          10333   |           5575   |
| 18.4/(FRExt)| 16-Ap | 20:16 |rtings/Codes/MJM/JM/bin/foreman_qcif.yuv|   30 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 |  HEX |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.695| 41.571| 43.231| 36.040| 40.930| 42.477|  21592|  42520|  42624|   107056|          12127   |           7397   |
| 18.4/(FRExt)| 16-Ap | 20:37 |rtings/Codes/MJM/JM/bin/foreman_qcif.yuv|   30 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | SHEX |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.695| 41.571| 43.231| 36.096| 40.930| 42.611|  21592|  41472|  41696|   105080|          11347   |           6693   |
| 18.4/(FRExt)| 16-Ap | 21:15 |rtings/Codes/MJM/JM/bin/foreman_qcif.yuv|   30 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | SHEX |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.695| 41.571| 43.231| 36.096| 40.930| 42.611|  21592|  41472|  41696|   105080|          11277   |           6645   |
| 18.4/(FRExt)| 16-Ap | 21:21 |rtings/Codes/MJM/JM/bin/foreman_qcif.yuv|   30 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.695| 41.571| 43.231| 36.172| 40.888| 42.543|  21592|  41656|  40112|   103680|         119997   |         115011   |
| 18.4/(FRExt)| 16-Ap | 22:43 |rtings/Codes/MJM/JM/bin/foreman_qcif.yuv|   30 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 |  HEX |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.695| 41.571| 43.231| 36.076| 40.859| 42.595|  21592|  42728|  42472|   107112|          12356   |           7575   |
| 18.4/(FRExt)| 16-Ap | 22:46 |rtings/Codes/MJM/JM/bin/foreman_qcif.yuv|   30 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | SHEX |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.695| 41.571| 43.231| 36.096| 40.930| 42.611|  21592|  41472|  41696|   105080|          11255   |           6664   |
| 18.4/(FRExt)| 16-Ap | 22:48 |rtings/Codes/MJM/JM/bin/foreman_qcif.yuv|   30 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.695| 41.571| 43.231| 36.221| 40.886| 42.423|  21592|  40848|  39336|   102096|          10158   |           5511   |
| 18.4/(FRExt)| 16-Ap | 22:50 |rtings/Codes/MJM/JM/bin/foreman_qcif.yuv|   30 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 |  HEX |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.695| 41.571| 43.231| 36.076| 40.859| 42.595|  21592|  42728|  42472|   107112|          12563   |           7762   |
| 18.4/(FRExt)| 16-Ap | 22:54 |rtings/Codes/MJM/JM/bin/foreman_qcif.yuv|   30 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 |  HEX |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.695| 41.571| 43.231| 36.040| 40.930| 42.477|  21592|  42520|  42624|   107056|          12269   |           7488   |
| 18.4/(FRExt)| 17-Ap | 10:40 |rtings/Codes/MJM/JM/bin/foreman_qcif.yuv|   30 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 |  HEX |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.695| 41.571| 43.231| 36.040| 40.930| 42.477|  21592|  42520|  42624|   107056|          11984   |           7292   |
| 18.4/(FRExt)| 17-Ap | 10:48 |rtings/Codes/MJM/JM/bin/foreman_qcif.yuv|   30 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 |  HEX |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.695| 41.571| 43.231| 36.076| 40.859| 42.595|  21592|  42728|  42472|   107112|          11883   |           7341   |
| 18.4/(FRExt)| 17-Ap | 14:43 |odes/MJM/JM/bin/mother-daughter_qcif.yuv|   30 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 |  HEX |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 38.627| 41.900| 42.658| 38.445| 41.651| 42.553|  16200|  11592|   6736|    34848|           9205   |           5163   |
